threshold,precision,recall,f1,accuracy,auc
0.0,0.43346007604562736,1.0,0.6047745358090185,0.43346007604562736,0.8087837042270104
0.05,0.4409448818897638,0.9824561403508771,0.6086956521739131,0.4524714828897338,0.8087837042270104
0.1,0.47257383966244726,0.9824561403508771,0.6381766381766382,0.5171102661596958,0.8087837042270104
0.15,0.5215311004784688,0.956140350877193,0.6749226006191951,0.6007604562737643,0.8087837042270104
0.2,0.5215311004784688,0.956140350877193,0.6749226006191951,0.6007604562737643,0.8087837042270104
0.25,0.5628415300546448,0.9035087719298246,0.6936026936026936,0.6539923954372624,0.8087837042270104
0.3,0.6241610738255033,0.8157894736842105,0.7072243346007605,0.7072243346007605,0.8087837042270104
0.35,0.632,0.6929824561403509,0.6610878661087866,0.6920152091254753,0.8087837042270104
0.4,0.632,0.6929824561403509,0.6610878661087866,0.6920152091254753,0.8087837042270104
0.45,0.7128712871287128,0.631578947368421,0.6697674418604651,0.7300380228136882,0.8087837042270104
0.5,0.7831325301204819,0.5701754385964912,0.6598984771573604,0.7452471482889734,0.8087837042270104
0.55,0.7972972972972973,0.5175438596491229,0.6276595744680851,0.7338403041825095,0.8087837042270104
0.6,0.7972972972972973,0.5175438596491229,0.6276595744680851,0.7338403041825095,0.8087837042270104
0.65,0.8412698412698413,0.4649122807017544,0.5988700564971752,0.7300380228136882,0.8087837042270104
0.7,0.9074074074074074,0.4298245614035088,0.5833333333333334,0.7338403041825095,0.8087837042270104
0.75,0.9166666666666666,0.38596491228070173,0.5432098765432098,0.7186311787072244,0.8087837042270104
0.8,0.9166666666666666,0.38596491228070173,0.5432098765432098,0.7186311787072244,0.8087837042270104
0.85,0.9473684210526315,0.3157894736842105,0.47368421052631576,0.6958174904942965,0.8087837042270104
0.9,1.0,0.24561403508771928,0.39436619718309857,0.6730038022813688,0.8087837042270104
0.95,1.0,0.14035087719298245,0.24615384615384617,0.6273764258555133,0.8087837042270104
1.0,1.0,0.14035087719298245,0.24615384615384617,0.6273764258555133,0.8087837042270104
